ime,zanr,datum_izdaje,cena,ocena_steam,stevilo_igralcev
PixelJunk Eden,Adventure,2012-02-02,9.99,54,292458
Wolfenstein: The New Order,Adventure,2014-05-19,19.99,59,1228918
Gothic,Adventure,2001-03-15,19.99,56,288074
Call of Duty: Black Ops,Adventure,2010-11-09,39.99,72,3455839
Dragon's Dogma: Dark Arisen,Adventure,2016-01-15,29.99,78,419049
Nidhogg,Adventure,2014-01-13,14.99,66,626469
AaAaAA!!! - A Reckless Disregard for Gravity,Adventure,2009-09-03,9.99,64,172178
Metro 2033,Adventure,2010-03-15,14.99,84,4485051
Overcooked,Adventure,2016-08-03,16.99,78,31210
Jamestown,Adventure,2011-06-08,9.99,93,615599
Painkiller: Gold Edition,Adventure,2007-01-24,9.99,88,26125
Sleeping Dogs,Adventure,0000-00-00,Free,90,1485081
Red Orchestra: Ostfront 41-45,Adventure,2006-03-14,9.99,72,891049
Waveform,Adventure,2012-03-20,1.99,59,464285
King Arthur's Gold,Adventure,2013-11-05,9.99,64,277204
Vessel,Adventure,2012-03-01,19.99,78,351195
Natural Selection 2,Adventure,2012-10-30,9.99,61,1624823
LEGO Lord of the Rings,Adventure,2012-11-27,19.99,81,504612
Anomaly Warzone Earth,Adventure,2011-04-08,9.99,72,852300
Outlast,Adventure,2013-09-04,19.99,96,1374796
Driver San Francisco,Adventure,2011-09-27,19.99,36,208648
Circa Infinity,Adventure,2015-09-08,3.99,99,5260
Capsized,Adventure,2011-04-29,9.99,45,499352
Tom Clancy's Ghost Recon,Adventure,2008-07-15,9.99,84,113967
Day of Defeat: Source,Adventure,2010-07-12,9.99,78,6147045
Vampire: The Masquerade - Bloodlines,Adventure,2007-03-22,19.99,90,513554
La-Mulana,Adventure,2013-04-15,14.99,59,234773
Stealth Bastard Deluxe,Adventure,2012-11-28,9.99,78,273872
Guacamelee! Super Turbo Championship Edition,Adventure,2014-08-21,14.99,90,150963
FATE,Adventure,2013-12-12,7.99,81,80829
1001 Spikes,Adventure,2014-06-03,14.99,49,83634
Full Spectrum Warrior,Adventure,2007-07-17,9.99,23,113792
Dyad,Adventure,2013-04-24,14.99,43,38223
Tom Clancy's Splinter Cell: Double Agent,Adventure,2009-02-13,9.99,9,214258
Penarium,Adventure,2015-09-22,9.99,64,75218
FLY'N,Adventure,2012-11-09,9.99,69,100291
LEGO Batman: The Videogame,Adventure,2008-09-29,19.99,52,198829
Deus Ex: Invisible War,Adventure,2007-03-29,6.99,18,825123
Noitu Love 2 Devolution,Adventure,2012-04-23,4.99,93,62244
Volume,Adventure,2015-08-18,19.99,56,82758
Trine,Adventure,2009-07-02,14.99,96,1449313
Elite: Dangerous,Adventure,2015-04-02,29.99,26,819863
Titan Quest: Immortal Throne,Adventure,2007-03-05,Free,81,1036927
Rampage Knights,Adventure,2015-09-04,11.99,90,86264
Super Time Force Ultra,Adventure,2014-08-25,14.99,75,142722
NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst,Adventure,2013-10-24,29.99,81,484624
Move or Die,Adventure,2016-01-21,14.99,64,161132
Mushroom Wars,Adventure,2016-04-07,9.99,66,6663
LUFTRAUSERS,Adventure,2014-03-18,9.99,81,335414
RoboBlitz,Adventure,2006-11-07,9.99,N/A,33314
Brutal Legend,Adventure,2013-02-26,14.99,88,1129503
Dead Island,Adventure,0000-00-00,19.99,66,3423928
Intrusion 2,Adventure,2012-09-11,9.99,56,367150
Odallus: The Dark Call,Adventure,2015-07-15,14.99,90,24371
SpellForce 2: Gold Edition,Adventure,2009-10-29,14.99,32,162009
Assassin's Creed Revelations,Adventure,2011-11-29,19.99,66,723429
Far Cry 4,Adventure,2014-11-01,39.99,43,765860
Active Gaming advertising app,Adventure,2013-04-15,14.99,59,1541
Axiom Verge,Adventure,2015-05-14,19.99,93,85738
140,Adventure,2013-10-16,4.99,88,167094
Lovers in a Dangerous Spacetime,Adventure,2015-09-09,14.99,93,114143
METAL GEAR SOLID V: GROUND ZEROES,Adventure,2014-12-18,19.99,64,666796
S.T.A.L.K.E.R.: Call of Pripyat,Adventure,2010-02-11,19.99,93,786725
Tomb Raider: Underworld,Adventure,2008-11-21,8.99,49,839851
DARK SOULS II: Scholar of the First Sin,Adventure,2015-04-01,39.99,66,801804
Lego Harry Potter,Adventure,2010-06-29,19.99,47,255988
Hitman: Absolution,Adventure,2012-11-19,19.99,78,2813940
Split/Second,Adventure,2014-10-06,19.99,38,31210
resident evil 4 / biohazard 4,Adventure,2014-02-27,19.99,59,596663
Assault Android Cactus,Adventure,2015-09-23,14.99,96,26125
Prototype,Adventure,2009-06-10,19.99,54,426939
State of Decay,Adventure,2013-11-05,Free,66,991165
PAYDAY 2,Adventure,2013-08-13,19.99,47,6732311
Waking Mars,Adventure,2012-12-13,9.99,78,173230
The Magic Circle,Adventure,2015-07-09,19.99,84,90823
Worms W.M.D,Adventure,2016-08-23,29.99,54,31911
BADLAND: Game of the Year Edition,Adventure,2015-05-26,2.39,69,83284
