ime,datum_izdaje,cena,ocena_steam,stevilo_igralcev,igralni_cas
AuroraRL,2016-04-08,4.99,78,1578,01:52
Labyrinth,2016-03-07,9.99,78,3857,02:13
PIXELMAN,2016-02-23,2.99,N/A,5961,02:49
Tower Unite,2016-04-08,14.99,59,34190,10:41
Slime Rancher,2016-01-14,19.99,93,284392,10:58
"Warhammer 40,000: Dark Nexus Arena",2015-12-09,Free,5,75744,00:27
RC Simulation 2.0,2015-11-24,14.99,32,2630,00:47
Timber and Stone,2015-10-20,12.99,24,23495,18:48
Spellsworn,2015-11-02,9.99,75,15079,04:16
Bounty Train,2015-08-25,24.99,52,12449,09:34
Interstellar Rift,2015-06-23,14.99,61,12799,10:34
Victory Command,2015-05-19,Free,36,204440,01:06
Survarium,2015-04-02,Free,11,2771509,04:49
Starwalker,2014-12-23,9.99,N/A,5611,03:43
ShellShock Live,2015-03-11,6.99,69,445524,18:10
Siege of Inaolia,2014-11-14,4.99,N/A,7013,00:02
Orake 2D MMORPG,2016-08-23,Free,N/A,4909,02:27
Divided We Fall,2016-09-07,10.39,N/A,526,01:16
NEO-NOW!,2016-08-02,4.99,N/A,3507,00:00
Windscape,2016-09-01,16.99,N/A,701,01:48
Dimensional,2016-07-01,4.99,N/A,1578,00:51
Left-Hand Path,2016-06-20,14.99,56,2104,00:41
Star Merc,2016-06-16,2.79,N/A,2630,03:16
Polynomial 2,2016-05-31,11.99,N/A,1753,00:58
Wacky Wheels HD,2016-04-27,9.99,N/A,514,02:10
Chunks,2016-04-11,19.99,N/A,20865,00:54
Toy Plane Heroes,2016-04-05,12.99,N/A,1066,00:50
Pocket Space Empire,2016-03-09,24.99,N/A,1403,01:36
Moving Hazard,2016-03-10,9.99,43,5435,02:48
Critical Annihilation,2016-02-12,9.99,88,6137,03:33
Naval Action,2016-01-21,39.99,49,78900,68:46
Lost World Zero,2016-02-12,9.99,7,9819,02:43
Heroes Never Lose: Professor Puzzler's Perplexing Ploy,2015-11-23,8.99,69,3857,03:33
Era: The Fantasy Settlement Sim,2016-02-26,5.99,39,36119,02:03
Survivor: The Living Dead,2015-10-01,5.99,N/A,799,04:13
Early Access : Fracture the Flag,2016-06-09,2.99,81,2630,38:52
Formula Fusion,2015-08-03,19.99,52,4208,02:25
Revolution : Virtual Playspace,2015-07-15,19.99,N/A,1403,02:22
Galagan's Island: Reprymian Rising,2015-06-16,1.99,81,19988,00:15
Shark Attack Deathmatch 2,2015-05-28,4.99,52,43308,01:32
Space Beast Terror Fright,2015-04-06,14.99,93,7715,13:50
Corona MotorSport,2015-03-13,9.99,N/A,5085,00:07
MyRPG Master,2015-02-09,39.99,N/A,1403,03:42
The Joylancer: Legendary Motor Knight,2014-11-07,9.99,39,36294,00:31
Miscreated,2014-10-30,9.99,30,257566,09:47
Imagine Earth,2014-05-20,19.99,59,9643,07:29
Rust,2013-12-11,19.99,54,4357408,91:38
Folk Tale,2013-05-01,19.99,32,91524,06:57
MinosMaze - The Minotaur's Labyrinth,2016-09-06,3.19,N/A,514,00:14
Armed Against the Undead,2016-06-17,19.99,N/A,799,01:00
Animated Puzzles,2016-08-03,7.99,N/A,1541,04:36
Wanderer of Teandria,2016-05-26,4.99,N/A,1929,05:45
ZenBlade,2016-04-29,14.99,66,28579,01:27
Attack Heroes,2016-04-14,9.99,34,4208,02:39
Forgotten Lore,2016-05-29,9.99,N/A,5961,04:14
Watch This!,2016-07-08,3.99,N/A,7715,01:25
Roses and Gems,2016-03-18,4.99,N/A,1929,00:00
Faeria,2016-02-29,Free,61,326122,09:02
CHKN,2016-04-01,14.99,72,11397,06:04
Path to the Sky,2016-02-02,9.99,N/A,701,01:17
Operation Hardcore,2016-03-02,5.99,N/A,514,00:00
I must kill...: Fresh Meat,2015-11-30,Free,2,58737,00:15
Throbax TD,2015-11-05,2.99,N/A,1066,01:22
Axes and Arrows,2015-10-08,9.99,N/A,514,00:00
Crash Dummy,2015-09-11,9.99,N/A,514,00:00
WARSHIFT,2015-08-14,19.99,61,12449,01:38
Fork Truck Challenge,2015-07-24,7.99,N/A,701,00:07
Tactical Genius,2015-06-24,Free,36,59789,00:18
Soccer Rage,2015-06-02,9.99,75,12449,00:20
Shrooms,2015-05-08,14.99,N/A,1753,01:22
Immune,2015-03-25,Free,17,74692,03:35
We Slay Monsters,2014-11-17,4.99,N/A,2455,06:40
20XX,2014-11-25,14.99,93,30684,08:25
The Long Dark,2014-09-22,19.99,90,754814,16:51
BeamNG.drive,2015-05-29,24.99,72,312270,25:35
Bot Colony,2014-06-16,Free,34,1753,01:14
Kenshi,0000-00-00,19.99,61,122909,25:08
Near Midnight,2016-09-05,2.69,N/A,514,01:12
GIGA WRECKER,2016-08-18,14.99,N/A,1066,01:26
Trickster VR,2016-08-12,9.99,90,2104,00:49
Samurai Wars,2016-07-27,1.99,N/A,514,00:00
Momento Temporis: Light from the Deep,2016-07-07,4.99,N/A,3507,02:00
ARK: Survival Of The Fittest,2016-03-15,Free,16,5521452,03:28
Steno Arcade,2016-03-30,Free,41,45587,00:05
Samphi,2016-03-18,4.99,N/A,2279,03:26
LILT,2016-01-28,4.99,N/A,514,00:00
Evertown,2016-01-11,2.99,38,11747,00:52
Zombie Office Politics,2015-12-03,Free,N/A,8065,01:28
Max's Big Bust - A Captain Nekorai Tale,2015-11-10,29.99,N/A,2131,03:24
Oncoming Death Steam Edition,2015-10-19,4.99,N/A,799,02:32
Sky Arena,2015-10-05,14.99,N/A,1227,00:38
Super Cane Magic ZERO,2015-08-26,19.99,96,4559,03:46
Pulsen,2015-07-27,14.99,N/A,533,10:05
Instinct,2015-06-01,1.99,2,10695,02:22
Soul Locus,2015-04-30,9.99,N/A,1227,05:26
Hollow's Land,2014-12-23,Free,N/A,514,00:00
Hearthlands,2014-12-12,19.99,88,15780,17:51
Homebrew - Vehicle Sandbox,2014-11-14,17.99,32,35593,09:16
Sky Nations,2014-07-17,13.99,39,4033,25:41
Colossal Kaiju Combat: Kaijuland Battles,2014-08-11,4.99,16,6487,04:08
Line of Defense MMO,2014-09-16,9.99,0,1578,159:58
SNOW,2013-10-10,Free,38,958728,04:12
ALONE?,2016-08-24,2.99,N/A,701,01:23
Spaaace,2016-08-15,3.99,N/A,514,00:00
Looterkings,2016-08-16,17.99,72,2455,03:48
The Fallen Kingdom,2016-07-27,7.99,56,1332,00:10
The Great Whale Road,2016-07-28,14.99,N/A,1052,01:18
Kaboom Monsters,2016-07-07,2.99,N/A,1753,01:59
Zaccaria Pinball,2016-06-16,Free,45,42431,00:47
Kodon,2016-06-03,19.99,N/A,1403,00:42
Rogue System,2016-05-16,29.99,98,2131,07:17
Unfortunate Spacemen,2016-05-06,14.99,41,1403,00:17
Whirligig,2016-04-03,3.99,38,23845,01:50
Rivalry,2016-01-22,2.99,N/A,2279,02:31
Heresy,2015-11-19,19.99,N/A,514,00:07
Carrotting Brain,2015-10-23,8.99,N/A,533,00:18
Lost Moon,2015-09-28,7.99,N/A,27177,00:14
Dragonflight,2015-08-31,15.99,41,3156,00:37
Dead Realm,2015-07-30,14.99,39,208648,03:53
Barbara-ian,2015-07-17,5.99,N/A,533,00:00
BIOS,2015-06-04,14.99,72,1929,30:14
room13,2015-05-15,7.99,N/A,2455,00:54
Moonrise,2015-05-27,Free,28,17709,14:44
WolfWars,2015-01-02,4.99,N/A,2279,02:32
Reflex,2014-11-04,9.99,72,38223,28:29
CubeZ,2014-12-01,7.99,N/A,9117,00:09
Pro Wrestling X,2014-11-18,9.99,32,2981,00:27
Steel Storm: A.M.M.O.,2013-09-25,9.99,N/A,514,00:00
Project Zomboid,2013-11-08,14.99,81,700285,17:55
Aim Hero,2016-09-05,4.99,N/A,1066,01:27
Redswood VR,2016-08-18,3.99,N/A,1066,00:18
Don't Crawl,2016-08-31,8.99,N/A,514,05:53
MIGHT,2016-07-13,4.99,N/A,4383,00:29
Leviathan: The Cargo,2016-07-10,10.99,N/A,799,00:30
LuckCatchers,2016-06-15,Free,11,90823,10:23
SWORDY,2016-07-21,14.99,N/A,526,00:41
Tank Blast,2016-07-13,4.99,N/A,877,01:16
Three Days,2016-05-11,4.99,N/A,2981,03:38
Gunslinger Trainer,2016-04-05,3.99,N/A,514,00:19
Fire With Fire: Online Tower Attack and Defense,2016-03-29,Free,10,66452,00:23
MachineCraft,2016-03-25,Free,39,225655,04:03
Caretaker Sacrifice,2016-08-17,5.99,N/A,514,00:00
Air Missions: HIND,2016-03-21,16.99,72,2805,01:59
Monsters!,2015-09-01,4.99,N/A,533,00:00
MegaSphere,2015-08-25,14.99,N/A,2398,01:29
Pump-Action Captain,2015-08-20,4.99,N/A,3857,00:15
Teddy Terror,2015-05-21,4.99,N/A,8065,00:57
Survival: Postapocalypse Now,2015-04-16,4.99,17,126241,08:24
Besiege,2015-01-28,7.99,96,1636746,10:17
Celestial Command,2014-11-20,7.99,54,12449,02:08
StarCrawlers,2015-03-17,19.99,88,9819,06:39
Of Guards And Thieves,2014-07-16,14.99,66,32437,07:23
Organic Panic,2014-05-14,Free,N/A,12449,00:24
Project Nimbus,2014-11-05,11.24,78,19111,01:56
Heroes & Generals,2014-07-11,Free,28,10385050,12:18
Final Fleet,2016-09-08,14.99,N/A,2055,00:00
In Celebration of Violence,2016-08-12,7.99,N/A,1027,05:04
Of Kings And Men,2016-08-25,24.99,45,28053,08:50
Car Car Crash Hands On Edition,2016-07-05,4.99,N/A,514,00:00
Force VR,2016-06-20,2.99,N/A,1403,00:17
