ime,datum_izdaje,cena,ocena_steam,stevilo_igralcev,igralni_cas
The Last Door: Season 2 - Collector's Edition,2016-03-29,9.99,98,7715,04:29
[STO] Special Tactics Online,2016-04-26,9.99,N/A,1227,02:10
Block Wave,2016-09-09,4.49,N/A,1541,"0 <font class=""small"">&plusmn;0</font></td><td class=""tplaytime"" data-order=""0"">00:00"
Hydraulic Empire,2015-07-31,9.99,18,12098,04:24
Gnomes Vs. Fairies,2016-07-01,9.99,N/A,1332,01:55
Event Horizon,2016-04-30,5.99,N/A,2455,00:21
Carnivore Land,2016-03-09,7.99,N/A,701,05:37
Major\Minor - Definitive Edition,2016-05-19,9.99,N/A,514,05:34
Energy Hook,2016-07-05,17.99,N/A,1929,00:42
Bionite: Origins,2015-12-24,11.99,N/A,799,00:02
INFERNO CLIMBER,2016-09-08,26.99,N/A,533,"0 <font class=""small"">&plusmn;0</font></td><td class=""tplaytime"" data-order=""0"">00:00"
Warbit,2016-04-19,0.99,28,9643,00:40
Orion Trail,2015-10-12,9.99,34,8416,04:19
Evolution,2016-06-06,3.99,N/A,5435,08:31
FL337,2015-11-17,9.99,N/A,526,00:04
Shaolin vs Wutang,2016-05-09,12.99,69,1052,00:49
Zavix Tower,2016-07-21,14.99,52,1227,02:18
So Long Earth,2016-04-28,6.99,N/A,2981,03:38
Citadel,2016-08-17,2.99,N/A,877,00:10
Rebel Wings,2016-07-08,9.99,N/A,533,00:22
Sky To Fly: Faster Than Wind,2016-03-25,3.99,36,10169,02:50
CrazyCars3D,2016-06-14,2.99,28,5961,02:53
Epic Showdown,2015-10-27,4.99,N/A,19287,00:08
Dark Days,2016-06-03,4.99,N/A,1403,00:59
Babel: Tower to the Gods,2016-04-05,9.99,N/A,2279,01:24
Warriors' Wrath,2016-05-26,6.99,49,8416,03:10
"DvDrum, Ultimate Drum Simulator!",2015-09-01,12.99,N/A,6838,00:38
MadOut Open City,2016-03-29,6.39,12,4383,01:20
Earth Overclocked,2015-12-04,7.99,N/A,11572,02:34
ALPAGES : THE FIVE BOOKS,2015-10-23,0.99,10,15079,00:09
Alien Blitz,2016-05-09,6.99,N/A,1929,05:30
Tango Fiesta,2015-09-24,12.99,32,22618,01:18
Steam Squad,2016-07-28,17.99,66,2279,01:30
I am weapon: Revival,2015-10-23,15.99,45,2104,03:48
Commander Cool 2,2015-12-17,2.99,75,10520,02:45
Battle Chess: Game of Kings,2015-12-11,29.99,15,7715,05:29
Kings of Kung Fu,2015-06-25,9.99,26,17183,01:28
Tomb of Tyrants,2015-06-25,7.99,84,21391,04:08
MechRunner,2016-07-15,7.99,N/A,2104,01:31
Adventures of Pip,2015-06-04,14.99,75,15429,02:49
Into The Gloom,2015-04-07,2.99,56,12098,03:29
Oil Enterprise,2016-04-20,19.99,17,5961,05:46
Leap of Fate,2016-03-30,15.99,93,6137,05:07
Fleeting Ages,2016-05-02,9.99,N/A,1753,01:08
Black Ink,2016-02-08,44.99,81,20339,18:55
CDF Ghostship,2015-06-26,9.99,7,3857,02:28
Cosmochoria,2015-04-27,9.99,84,28053,06:38
Distant Star: Revenant Fleet,2015-04-07,9.99,20,12624,05:08
Lif,2016-01-21,8.99,19,3331,05:38
Congo,2016-03-21,9.99,20,4033,01:55
Chime Sharp,2016-07-19,14.99,N/A,1929,03:00
Solar System Conflict,2015-04-06,9.99,N/A,1052,02:31
Into the Stars,2016-03-04,19.99,13,15780,02:09
Castaway Paradise,2015-05-19,14.99,72,10520,14:24
Runes of Brennos,2015-10-16,4.99,N/A,15955,02:21
Robot Arena III,2016-06-20,19.99,4,2455,03:14
Concealed Intent,2016-08-02,14.99,N/A,1052,02:15
Son of Nor,2015-04-27,19.99,25,21917,03:07
Albedo: Eyes from Outer Space,2015-04-10,14.99,18,51724,02:36
I Shall Remain,2015-08-24,9.99,41,7013,05:16
Super Indie Karts,2015-05-06,9.99,84,1403,01:14
KWAAN,2016-01-21,9.99,45,12273,01:43
Into The War,2015-12-02,Free,2,46288,00:37
Broken Bots,2016-06-08,6.99,N/A,3857,04:41
The Battle of Sol,2015-07-01,9.99,23,18761,01:07
REVERSE SIDE,2015-07-30,6.99,19,877,01:23
Mighty Switch Force! Academy,2015-11-23,9.99,N/A,1578,01:51
"Once Bitten, Twice Dead!",2015-07-07,4.99,0,22267,03:56
Gem Wars: Attack of the Jiblets,2015-12-14,3.99,N/A,19813,04:14
Kinetic Void,2014-11-21,19.99,2,115019,03:16
Shadow Blade: Reload,2015-08-10,14.99,78,14202,04:37
Radial-G : Racing Revolved,2016-03-28,24.99,59,7013,01:22
Phantasmal,2016-04-14,14.99,32,3507,01:31
VolChaos,2015-12-08,2.99,N/A,8942,04:54
Defend The Highlands,2015-11-06,9.99,N/A,7539,05:23
Planetship,2015-09-24,8.99,52,6487,00:50
Montas,2014-03-24,9.99,16,34716,01:06
Masterspace,2015-06-15,13.99,3,13851,05:50
Habitat,2016-01-26,14.99,15,23670,03:33
Dicetiny,2016-07-21,Free,36,8942,03:26
Zenzizenzic,2015-07-23,9.99,90,4559,01:10
Death Goat,2016-06-07,2.99,52,28404,19:29
Spellsworn,2015-11-02,9.99,75,15079,04:16
Demons with Shotguns,2016-04-25,9.99,N/A,11572,01:04
Vertiginous Golf,2015-05-06,9.99,17,396080,00:49
Conflicks - Revolutionary Space Battles,2015-11-05,14.99,25,4033,03:20
Survivors,2016-05-05,3.99,31,15429,02:07
Devouring Stars,2015-07-03,9.99,N/A,1227,01:37
Wonky Pigeon!,2015-11-26,4.99,1,10345,00:05
Unveil,2016-04-19,14.99,N/A,1227,03:30
